mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
23	22	0	0	2/2	2	1		#viio64/v		a	i		#viio64/v	#vii	o	64		v			o	1	1	0, 6, 3		6	0
23	22	1/4	1/4	2/2	2	1		v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
23	22	1/2	1/2	2/2	2	1		#viio64/v		a	i		#viio64/v	#vii	o	64		v			o	1	1	0, 6, 3		6	0
23	22	3/4	3/4	2/2	2	1		V64/v		a	i		V64/v	V		64		v			M	1	1	3, 2, 6		2	3
24	23	0	0	2/2	2	1		v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
24	23	1/4	1/4	2/2	2	1		iio6/v		a	i		iio6/v	ii	o	6		v			o	1	1	0, -3, 3		3	0
24	23	1/2	1/2	2/2	2	1		V/v		a	i		V/v	V				v			M	1	1	2, 6, 3		2	2
25	24	0	0	2/2	2	1	1	v\\		a	i		v	v						\\	m	1	1	1, -2, 2		1	1
25	24	1/2	1/2	2/2	2	1	1	v64		a	i		v64	v		64					m	1	1	2, 1, -2		1	2
26	24	0	0	2/2	2	1	2	v		a	i		v	v							m	1	1	1, -2, 2		1	1
26	24	1/4	1/4	2/2	2	1	2	v64		a	i		v64	v		64					m	1	1	2, 1, -2		1	2
26	24	1/2	1/2	2/2	2	1	2	v\\		a	i		v	v						\\	m	1	1	1, -2, 2		1	1
27	24	0	3/4	2/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
28	25	1/2	1/2	2/2	2	1		V(64)		a	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
29	26	0	0	2/2	2	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
29	26	1/4	1/4	2/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
29	26	1/2	1/2	2/2	2	1		V(64)		a	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
29	26	3/4	3/4	2/2	2	1		V7(9)		a	i		V7(9)	V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
30	27	0	0	2/2	2	1		V(64)		a	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
30	27	1/2	1/2	2/2	2	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
30	27	3/4	3/4	2/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
31	28	0	0	2/2	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
31	28	1/4	1/4	2/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
31	28	1/2	1/2	2/2	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
32	29	0	0	2/2	2	1		V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
32	29	1/2	1/2	2/2	2	1		V(64)/iv		a	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
33	30	0	0	2/2	2	1		V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
33	30	1/2	1/2	2/2	2	1		V(64)/iv		a	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
33	30	3/4	3/4	2/2	2	1		V7(9)/iv		a	i		V7(9)/iv	V		7	9	iv			Mm7	1	1	0, 4, 1, -2	-5	0	0
34	31	0	0	2/2	2	1		V(64)/iv		a	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
34	31	1/2	1/2	2/2	2	1		V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
34	31	3/4	3/4	2/2	2	1		V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
35	32	0	0	2/2	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
35	32	1/4	1/4	2/2	2	1		V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
35	32	1/2	1/2	2/2	2	1		iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
35	32	3/4	3/4	2/2	2	1		V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
36	33	0	0	2/2	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
36	33	3/4	3/4	2/2	2	1		iv65		a	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
37	34	0	0	2/2	2	1		vii		a	i		vii	vii							m	1	1	-2, -5, -1		-2	-2
37	34	3/4	3/4	2/2	2	1		vii65		a	i		vii65	vii		65					mm7	1	1	-5, -1, -4, -2		-2	-5
38	35	0	0	2/2	2	1		III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
38	35	3/4	3/4	2/2	2	1		V65/VI		a	i		V65/VI	V		65		VI			Mm7	1	1	1, -2, -5, -3		-3	1
39	36	0	0	2/2	2	1		VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
39	36	1/4	1/4	2/2	2	1		VI64		a	i		VI64	VI		64					M	1	1	-3, -4, 0		-4	-3
39	36	1/2	1/2	2/2	2	1		VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
39	36	3/4	3/4	2/2	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
40	37	0	0	2/2	2	1		iv/iv		a	i		iv/iv	iv				iv			m	1	1	-2, -5, -1		-2	-2
40	37	1/4	1/4	2/2	2	1		iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
40	37	1/2	1/2	2/2	2	1		ii6/iv		a	i		ii6/iv	ii		6		iv			m	1	1	-2, 2, 1		1	-2
40	37	3/4	3/4	2/2	2	1		ii/iv		a	i		ii/iv	ii				iv			m	1	1	1, -2, 2		1	1
41	38	0	0	2/2	2	1		V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
41	38	1/4	1/4	2/2	2	1		iio6/iv		a	i		iio6/iv	ii	o	6		iv			o	1	1	-2, -5, 1		1	-2
41	38	1/2	1/2	2/2	2	1		V(64)/iv		a	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
41	38	3/4	3/4	2/2	2	1		V64(6)/iv		a	i		V64(6)/iv	V		64	6	iv			M	1	1	-4, 0, 4		0	-4
42	39	0	0	2/2	2	1		VI/iv	iv6/iv	a	i		VI/iv	VI				iv			M	1	1	-5, -1, -4		-5	-5
42	39	1/4	1/4	2/2	2	1		ii%65/iv		a	i		ii%65/iv	ii	%	65		iv			%7	1	1	-2, -5, -1, 1		1	-2
42	39	1/2	1/2	2/2	2	1		V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
43	40	0	0	2/2	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
43	40	1/4	1/4	2/2	2	1		iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
43	40	1/2	1/2	2/2	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
43	40	3/4	3/4	2/2	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
44	41	0	0	2/2	2	1		V7/III		a	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
44	41	1/4	1/4	2/2	2	1		viio/III		a	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
44	41	1/2	1/2	2/2	2	1		viio6/III		a	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
44	41	3/4	3/4	2/2	2	1		V/III		a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
45	42	0	0	2/2	2	1		III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
45	42	1/4	1/4	2/2	2	1		viio/III		a	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
45	42	1/2	1/2	2/2	2	1		V/III		a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
45	42	3/4	3/4	2/2	2	1		III6		a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
46	43	0	0	2/2	2	1		III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
46	43	1/4	1/4	2/2	2	1		iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
46	43	1/2	1/2	2/2	2	1		#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
47	44	0	0	2/2	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
47	44	1/2	1/2	2/2	2	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
47	44	3/4	3/4	2/2	2	1		#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
48	45	0	0	2/2	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
48	45	1/4	1/4	2/2	2	1		#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
48	45	1/2	1/2	2/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
48	45	3/4	3/4	2/2	2	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
49	46	0	0	2/2	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
49	46	1/4	1/4	2/2	2	1		iio64		a	i		iio64	ii	o	64					o	1	1	-4, 2, -1		2	-4
49	46	1/2	1/2	2/2	2	1		ii%65		a	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
49	46	7/8	7/8	2/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
50	47	0	0	2/2	2	1		VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
50	47	1/4	1/4	2/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
50	47	1/2	1/2	2/2	2	1		iv65		a	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
50	47	3/4	3/4	2/2	2	1		ii%65		a	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
51	48	0	0	2/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
51	48	3/4	3/4	2/2	2	1		#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
52	49	0	0	2/2	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
52	49	1/2	1/2	2/2	2	1		V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
52	49	3/4	3/4	2/2	2	1		V2/iv		a	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
53	50	0	0	2/2	2	1		iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
53	50	1/4	1/4	2/2	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
53	50	1/2	1/2	2/2	2	1		V/v		a	i		V/v	V				v			M	1	1	2, 6, 3		2	2
53	50	3/4	3/4	2/2	2	1		#viio64/v		a	i		#viio64/v	#vii	o	64		v			o	1	1	0, 6, 3		6	0
54	51	0	0	2/2	2	1		v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
54	51	1/4	1/4	2/2	2	1		v		a	i		v	v							m	1	1	1, -2, 2		1	1
54	51	3/4	3/4	2/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
55	52	0	0	2/2	2	1		VIM2		a	i		VIM2	VI	M	2					MM7	1	1	1, -4, 0, -3		-4	1
55	52	1/4	1/4	2/2	2	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
55	52	1/2	1/2	2/2	2	1		ii		a	i		ii	ii							m	1	1	2, -1, 3		2	2
55	52	3/4	3/4	2/2	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
56	53	0	0	2/2	2	1		VII6		a	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
56	53	1/4	1/4	2/2	2	1		iio64		a	i		iio64	ii	o	64					o	1	1	-4, 2, -1		2	-4
56	53	1/2	1/2	2/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
56	53	3/4	3/4	2/2	2	1		V2		a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
57	54	0	0	2/2	2	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
57	54	1/4	1/4	2/2	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
57	54	3/8	3/8	2/2	2	1		#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
57	54	1/2	1/2	2/2	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
57	54	3/4	3/4	2/2	2	1		iio		a	i		iio	ii	o						o	1	1	2, -1, -4		2	2
58	55	0	0	2/2	2	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
58	55	1/4	1/4	2/2	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
58	55	1/2	1/2	2/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
59	56	0	0	2/2	2	1		i\\		a	i		i	i						\\	m	1	1	0, -3, 1		0	0
