mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
17	16	47	1.0	1/2	1/2	3/4	2	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
18	17	48	1.0	0	0	3/4	2	1		viio/VI		d	i		viio/VI	vii	o			VI			o	1	1	1, -2, -5		1	1
18	17	49	1.5	1/4	1/4	3/4	2	1		VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
18	17	101/2	0.5	5/8	5/8	3/4	2	1		iv7		d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
19	18	51	0.5	0	0	3/4	2	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
19	18	103/2	0.5	1/8	1/8	3/4	2	1		viio/VII		d	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
19	18	52	1.5	1/4	1/4	3/4	2	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
19	18	107/2	0.5	5/8	5/8	3/4	2	1		v7		d	i		v7	v		7					mm7	1	1	1, -2, 2, -1		1	1
20	19	54	0.5	0	0	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
20	19	109/2	0.5	1/8	1/8	3/4	2	1		#viio		d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
20	19	55	1.0	1/4	1/4	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
20	19	56	1.0	1/2	1/2	3/4	2	1		VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
21	20	57	0.5	0	0	3/4	2	1		#viio2		d	i		#viio2	#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
21	20	115/2	0.5	1/8	1/8	3/4	2	1		VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
21	20	58	0.5	1/4	1/4	3/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
21	20	117/2	0.5	3/8	3/8	3/4	2	1		ii6		d	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
21	20	59	0.5	1/2	1/2	3/4	2	1		V64(6)		d	i		V64(6)	V		64	6				M	1	1	-3, 1, 5		1	-3
21	20	119/2	0.5	5/8	5/8	3/4	2	1		V64		d	i		V64	V		64					M	1	1	2, 1, 5		1	2
22	21	60	1.0	0	0	3/4	2	1		V6/iv		d	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
22	21	61	1.0	1/4	1/4	3/4	2	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
22	21	62	1.0	1/2	1/2	3/4	2	1		V43/iv		d	i		V43/iv	V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1
23	22	63	0.5	0	0	3/4	2	1		V7/iv		d	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
23	22	127/2	0.5	1/8	1/8	3/4	2	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
23	22	64	1.0	1/4	1/4	3/4	2	1		ii%7		d	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
23	22	65	1.0	1/2	1/2	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
24	23	66	1.0	0	0	3/4	2	1		VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
24	23	67	0.5	1/4	1/4	3/4	2	1		iv7		d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
24	23	135/2	0.5	3/8	3/8	3/4	2	1		iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
24	23	68	0.5	1/2	1/2	3/4	2	1		V(4)		d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
24	23	137/2	0.5	5/8	5/8	3/4	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
25	24	69	3.0	0	0	3/4	2	1		i\\	I\\	d	i		i	i						\\	m	1	1	0, -3, 1		0	0
