mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
7	6	0	0	2/2	2	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	3	5	0.375	0.25	1.25	0.16666666666666666
7	6	1/2	1/2	2/2	2	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	3	6	0.3333333333333333	0.375	1.125	0.25
8	7	0	0	2/2	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	2	3	0.4	0.25	0.5	0.3333333333333333
8	7	1/4	1/4	2/2	2	1	VI6					d	i		VI6	VI		6					M	1	1	2, -1, -2		-2	2	0	5	0.0	0.0	0.75	0.0
8	7	1/2	1/2	2/2	2	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	2	6	0.25	0.1875	1.3125	0.125
9	8	0	0	2/2	2	1	V7				1	d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
10	8	0	0	2/2	2	1	V\\				2	d	i		V	V						\\	M	1	1	3, 7, 4		3	3	0	3	0.0	0.0	1.5	0.0
11	8	0	1/2	2/2	2	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	0.75	0.0
11	8	1/4	3/4	2/2	2	1	V/v					d	i		V/v	V				v			M	1	1	4, 8, 5		4	4	0	4	0.0	0.0	0.75	0.0
12	9	0	0	2/2	2	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	2	6	0.25	0.1875	1.3125	0.125
12	9	1/2	1/2	2/2	2	1	iv6/v					d	i		iv6/v	iv		6		v			m	1	1	-1, 3, 2		2	-1	1	3	0.25	0.125	0.625	0.16666666666666666
12	9	3/4	3/4	2/2	2	1	iv7(9)/v					d	i		iv7(9)/v	iv		7	9	v			mm7	1	1	2, -1, 3, 0	4	2	2	0	4	0.0	0.0	0.75	0.0
13	10	0	0	2/2	2	1	V/VII					d	i		V/VII	V				VII			M	1	1	1, 5, 2		1	1	1	9	0.1	0.125	2.125	0.05555555555555555
13	10	3/4	3/4	2/2	2	1	v/v					d	i		v/v	v				v			m	1	1	4, 1, 5		4	4	0	4	0.0	0.0	0.75	0.0
14	11	0	0	2/2	2	1	v					d	i		v	v							m	1	1	3, 0, 4		3	3	3	5	0.375	0.3125	1.1875	0.20833333333333334
14	11	1/2	1/2	2/2	2	1	V43/VII					d	i		V43/VII	V		43		VII			Mm7	1	1	2, -1, 1, 5		1	2	0	5	0.0	0.0	0.75	0.0
14	11	3/4	3/4	2/2	2	1	VII					d	i		VII	VII							M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.5	0.0
14	11	7/8	7/8	2/2	2	1	IV/VII					d	i		IV/VII	IV				VII			M	1	1	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
15	12	0	0	2/2	2	1	V/VII					d	i		V/VII	V				VII			M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	0.75	0.0
15	12	1/4	1/4	2/2	2	1	V2/III					d	i		V2/III	V		2		III			Mm7	1	1	-2, 0, 4, 1		0	-2	0	4	0.0	0.0	0.75	0.0
15	12	1/2	1/2	2/2	2	1	ii/iv					d	i		ii/iv	ii				iv			m	1	1	3, 0, 4		3	3	1	3	0.25	0.125	0.625	0.16666666666666666
15	12	3/4	3/4	2/2	2	1	#viio6/iv					d	i		#viio6/iv	#vii	o	6		iv			o	1	1	3, 0, 6		6	3	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
16	13	0	0	2/2	2	1	V/iv					d	i		V/iv	V				iv			M	1	1	2, 6, 3		2	2	2	6	0.25	0.1875	1.3125	0.125
16	13	1/2	1/2	2/2	2	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.125	0.625	0.16666666666666666
16	13	3/4	3/4	2/2	2	1	V6/iv					d	i		V6/iv	V		6		iv			M	1	1	6, 3, 2		2	6	1	3	0.25	0.125	0.625	0.16666666666666666
17	14	0	0	2/2	2	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1	1	1	7	0.125	0.0625	1.9375	0.03125
17	14	1/2	1/2	2/2	2	1	V65/iv	0	-6	/		d	i		V65/iv	V		65		iv			Mm7	1	1	6, 3, 0, 2		2	6	1	2	0.3333333333333333	0.125	0.375	0.25
17	14	3/4	3/4	2/2	2	1	V/iv	0	-6	/		d	i		V/iv	V				iv			M	1	1	2, 6, 3		2	2	1	2	0.3333333333333333	0.125	0.375	0.25
18	15	0	0	2/2	2	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1	1	1	3	0.25	0.125	1.375	0.08333333333333333
18	15	1/4	1/4	2/2	2	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	1	2	0.3333333333333333	0.125	0.375	0.25
18	15	1/2	1/2	2/2	2	1	V2					d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3	1	2	1	0.6666666666666666	0.375	0.125	0.75
18	15	3/4	3/4	2/2	2	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	3	0	1.0	0.5	0.0	1.0
19	16	0	0	2/2	2	1	V6/vii					d	i		V6/vii	V		6		vii			M	1	1	5, 2, 1		1	5	1	3	0.25	0.125	1.375	0.08333333333333333
19	16	1/4	1/4	2/2	2	1	V7/vii					d	i		V7/vii	V		7		vii			Mm7	1	1	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.5	0.0
19	16	1/2	1/2	2/2	2	1	IV6(+2)/vii					d	i		IV6(+2)/vii	IV		6	+2	vii			M	1	1	3, 0, -1	1	-1	3	1	2	0.3333333333333333	0.125	0.375	0.25
19	16	3/4	3/4	2/2	2	1	V6/vii					d	i		V6/vii	V		6		vii			M	1	1	5, 2, 1		1	5	1	2	0.3333333333333333	0.125	0.375	0.25
20	17	0	0	2/2	2	1	vii					d	i		vii	vii							m	1	1	0, -3, 1		0	0	1	3	0.25	0.125	1.375	0.08333333333333333
20	17	1/4	1/4	2/2	2	1	V64/vii					d	i		V64/vii	V		64		vii			M	1	1	2, 1, 5		1	2	1	2	0.3333333333333333	0.125	0.375	0.25
20	17	1/2	1/2	2/2	2	1	vii6					d	i		vii6	vii		6					m	1	1	-3, 1, 0		0	-3	1	2	0.3333333333333333	0.125	0.375	0.25
20	17	3/4	3/4	2/2	2	1	IV7(9)/vii					d	i		IV7(9)/vii	IV		7	9	vii			Mm7	1	1	-1, 3, 0, -3	1	-1	-1	0	3	0.0	0.0	0.5	0.0
21	18	0	0	2/2	2	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1	1	3	4	0.42857142857142855	0.5	1.5	0.25
21	18	1/2	1/2	2/2	2	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	1	2	0.3333333333333333	0.125	0.375	0.25
21	18	3/4	3/4	2/2	2	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1	1	1	2	0.3333333333333333	0.125	0.375	0.25
22	19	0	0	2/2	2	1	V(64)/iv					d	i		V(64)/iv	V			64	iv			M	1	1	2, 1, -2		2	2	4	11	0.26666666666666666	0.5	2.25	0.18181818181818182
22	19	7/8	7/8	2/2	2	1	V/iv					d	i		V/iv	V				iv			M	1	1	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
23	20	0	0	2/2	2	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	1.25	0.0
23	20	1/4	1/4	2/2	2	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	0	2	0.0	0.0	0.25	0.0
23	20	1/2	1/2	2/2	2	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	0.75	0.0
23	20	3/4	3/4	2/2	2	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	3	0.25	0.125	0.625	0.16666666666666666
24	21	0	0	2/2	2	1	ii%7					d	i		ii%7	ii	%	7					%7	1	1	4, 1, -2, 2		4	4	1	8	0.1111111111111111	0.125	1.375	0.08333333333333333
24	21	1/2	1/2	2/2	2	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	2	3	0.4	0.25	0.75	0.25
24	21	3/4	3/4	2/2	2	1	V2					d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3	1	0	4	0.0	0.0	0.5	0.0
25	22	0	0	2/2	2	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	3	0.25	0.125	1.375	0.08333333333333333
25	22	1/4	1/4	2/2	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	0.5	0.0
25	22	1/2	1/2	2/2	2	1	V6					d	i		V6	V		6					M	1	1	7, 4, 3		3	7	1	2	0.3333333333333333	0.125	0.375	0.25
25	22	3/4	3/4	2/2	2	1	V7					d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.5	0.0
26	23	0	0	2/2	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	1	3	0.25	0.125	0.875	0.125
26	23	1/4	1/4	2/2	2	1	III64					d	i		III64	III		64					M	1	1	0, -1, 3		-1	0	0	3	0.0	0.0	0.5	0.0
26	23	1/2	1/2	2/2	2	1	iv65					d	i		iv65	iv		65					mm7	1	1	-2, 2, -1, 1		1	-2	0	3	0.0	0.0	0.5	0.0
26	23	3/4	3/4	2/2	2	1	ii%65					d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	0	3	0.0	0.0	0.5	0.0
27	24	0	0	2/2	2	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	0	3	0.0	0.0	0.5	0.0
27	24	1/4	1/4	2/2	2	1	V2					d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3	1	1	3	0.25	0.125	0.375	0.25
27	24	1/2	1/2	2/2	2	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	2	3	0.4	0.25	0.5	0.3333333333333333
27	24	3/4	3/4	2/2	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	1	3	0.25	0.125	0.625	0.16666666666666666
28	25	0	0	2/2	2	1	VIM7					d	i		VIM7	VI	M	7					MM7	1	1	-2, 2, -1, 3		-2	-2	2	6	0.25	0.1875	1.8125	0.09375
28	25	1/2	1/2	2/2	2	1	iv7					d	i		iv7	iv		7					mm7	1	1	1, -2, 2, -1		1	1	2	4	0.3333333333333333	0.375	0.625	0.375
29	26	0	0	2/2	2	1	V(4)/III					d	i		V(4)/III	V			4	III			M	1	1	0, -1, 1		0	0	0	6	0.0	0.0	1.5	0.0
29	26	1/2	1/2	2/2	2	1	V/III					d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	1	3	0.25	0.125	0.875	0.125
29	26	3/4	3/4	2/2	2	1	V6/III					d	i		V6/III	V		6		III			M	1	1	4, 1, 0		0	4	1	2	0.3333333333333333	0.125	0.375	0.25
30	27	0	0	2/2	2	1	#viio7					d	i		#viio7	#vii	o	7					o7	1	1	7, 4, 1, -2		7	7	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
30	27	1/2	1/2	2/2	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	1	4	0.2	0.125	0.875	0.125
30	27	3/4	3/4	2/2	2	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	0	2	0.0	0.0	0.25	0.0
30	27	7/8	7/8	2/2	2	1	iv7					d	i		iv7	iv		7					mm7	1	1	1, -2, 2, -1		1	1	0	2	0.0	0.0	0.25	0.0
31	28	0	0	2/2	2	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	0	3	0.0	0.0	0.75	0.0
31	28	1/4	1/4	2/2	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	3	6	0.3333333333333333	0.375	0.875	0.3
31	28	3/4	3/4	2/2	2	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.5	0.0
31	28	7/8	7/8	2/2	2	1	V6					d	i		V6	V		6					M	1	1	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
32	29	0	0	2/2	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	2	6	0.25	0.1875	1.3125	0.125
32	29	1/2	1/2	2/2	2	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.125	0.625	0.16666666666666666
32	29	3/4	3/4	2/2	2	1	iv7(9)					d	i		iv7(9)	iv		7	9				mm7	1	1	1, -2, 2, -1	3	1	1	0	4	0.0	0.0	0.75	0.0
33	30	0	0	2/2	2	1	V7/III					d	i		V7/III	V		7		III			Mm7	1	1	0, 4, 1, -2		0	0	1	4	0.2	0.125	1.125	0.1
33	30	3/8	3/8	2/2	2	1	#viio					d	i		#viio	#vii	o						o	1	1	7, 4, 1		7	7	0	2	0.0	0.0	0.25	0.0
33	30	1/2	1/2	2/2	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.25	0.0
33	30	5/8	5/8	2/2	2	1	#viio6					d	i		#viio6	#vii	o	6					o	1	1	4, 1, 7		7	4	0	2	0.0	0.0	0.25	0.0
33	30	3/4	3/4	2/2	2	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.25	0.0
33	30	7/8	7/8	2/2	2	1	#viio64					d	i		#viio64	#vii	o	64					o	1	1	1, 7, 4		7	1	0	2	0.0	0.0	0.25	0.0
34	31	0	0	2/2	2	1	i6					d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	1.5	0.0
34	31	1/2	1/2	2/2	2	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	0	3	0.0	0.0	1.5	0.0
35	32	0	0	2/2	2	1	i\\					d	i		i	i						\\	m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	1.5	0.0
