mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
5	5	1/2	1/2	3/2	2	1	V2/VII					d	i		V2/VII	V		2		VII			Mm7	1	1	-1, 1, 5, 2		1.0	-1.0	1	4	0.2	0.25	3.75	0.0625
6	6	0	0	3/2	2	1	V7/V					d	i		V7/V	V		7		V			Mm7	1	1	4, 8, 5, 2		4.0	4.0	0	5	0.0	0.0	2.5	0.0
6	6	1/2	1/2	3/2	2	1	V2					d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3.0	1.0	0	3	0.0	0.0	1.75	0.0
6	6	1	1	3/2	2	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1.0	-2.0	0	4	0.0	0.0	1.75	0.0
7	7	0	0	3/2	2	1	#viio7					d	i		#viio7	#vii	o	7					o7	1	1	7, 4, 1, -2		7.0	7.0	2	5	0.2857142857142857	0.25	1.75	0.125
7	7	1/2	1/2	3/2	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2.0	2.0	0	4	0.0	0.0	2.75	0.0
7	7	1	1	3/2	2	1	viio43/V					d	i		viio43/V	vii	o	43		V			o7	1	1	2, -1, 8, 5		8.0	2.0	1	2	0.3333333333333333	0.25	1.0	0.2
8	8	0	0	3/2	2	1	V(97)}					d	i		V(97)	V			97			}	M	1	1	3, 7, 4	-2, 1	3.0	3.0	2	2	0.5	0.5	3.0	0.14285714285714285
8	8	1/4	1/4	3/2	2	1	V(#9#7)					d	i		V(#9#7)	V			#9#7				M	1	1	3, 7, 4	5, 8	3.0	3.0	0	2	0.0	0.0	0.5	0.0
8	8	1/2	1/2	3/2	2	1	V|HC					d	i		V	V					HC		M	1	1	3, 7, 4		3.0	3.0	0	6	0.0	0.0	4.0	0.0
9	9	1/2	1/2	3/2	2	1	#viio43					d	i		#viio43	#vii	o	43					o7	1	1	1, -2, 7, 4		7.0	1.0	0	4	0.0	0.0	3.5	0.0
9	9	5/4	5/4	3/2	2	1	V					d	i		V	V							M	1	1	3, 7, 4		3.0	3.0	0	2	0.0	0.0	0.5	0.0
10	10	0	0	3/2	2	1	#viio43					d	i		#viio43	#vii	o	43					o7	1	1	1, -2, 7, 4		7.0	1.0	0	5	0.0	0.0	1.75	0.0
10	10	1/4	1/4	3/2	2	1	V7					d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3.0	3.0	0	1	0.0	0.0	0.25	0.0
10	10	1/2	1/2	3/2	2	1	V65/VI					d	i		V65/VI	V		65		VI			Mm7	1	1	3, 0, -3, -1		-1.0	3.0	0	5	0.0	0.0	4.0	0.0
11	11	0	0	3/2	2	1	VI(+2)					d	i		VI(+2)	VI			+2				M	1	1	-2, 2, -1	0	-2.0	-2.0	1	4	0.2	0.25	1.75	0.125
11	11	1/2	1/2	3/2	2	1	III.viio6					d	III		viio6	vii	o	6					o	1	0	1, -2, 4		4.0	1.0	0	4	0.0	0.0	2.25	0.0
11	11	1	1	3/2	2	1	I					d	III		I	I							M	1	0	-1, 3, 0		-1.0	-1.0	0	4	0.0	0.0	1.75	0.0
12	12	0	0	3/2	2	1	V|HC}					d	III		V	V					HC	}	M	1	0	0, 4, 1		0.0	0.0	2	5	0.2857142857142857	0.75	3.25	0.1875
12	12	1	1	3/2	2	1	V2	0	-8	/		d	III		V2	V		2					Mm7	1	0	-2, 0, 4, 1		0.0	-2.0	0	4	0.0	0.0	2.0	0.0
13	13	0	0	3/2	2	1	I6{					d	III		I6	I		6				{	M	1	0	3, 0, -1		-1.0	3.0	2	4	0.3333333333333333	1.25	4.0	0.23809523809523808
13	13	1	1	3/2	2	1	I					d	III		I	I							M	1	0	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	0.75	0.0
14	14	0	0	3/2	2	1	ii65					d	III		ii65	ii		65					mm7	1	0	-2, 2, -1, 1		1.0	-2.0	1	4	0.2	0.25	2.25	0.1
14	14	1/2	1/2	3/2	2	1	I6					d	III		I6	I		6					M	1	0	3, 0, -1		-1.0	3.0	1	3	0.25	0.25	1.25	0.16666666666666666
14	14	1	1	3/2	2	1	viio6					d	III		viio6	vii	o	6					o	1	0	1, -2, 4		4.0	1.0	1	5	0.16666666666666666	0.125	1.875	0.0625
15	15	0	0	3/2	2	1	I6					d	III		I6	I		6					M	1	0	3, 0, -1		-1.0	3.0	2	4	0.3333333333333333	0.5	1.5	0.25
15	15	1/2	1/2	3/2	2	1	V					d	III		V	V							M	1	0	0, 4, 1		0.0	0.0	1	4	0.2	0.25	2.0	0.1111111111111111
15	15	1	1	3/2	2	1	V7					d	III		V7	V		7					Mm7	1	0	0, 4, 1, -2		0.0	0.0	1	3	0.25	0.25	1.5	0.14285714285714285
16	16	0	0	3/2	2	1	I(4^2)}					d	III		I(4^2)	I			4^2			}	M	1	0	-1, 1, -2, 0		-1.0	-1.0	0	6	0.0	0.0	4.0	0.0
16	16	1/2	1/2	3/2	2	1	I|PAC					d	III		I	I					PAC		M	1	0	-1, 3, 0		-1.0	-1.0	0	2	0.0	0.0	2.0	0.0
17	17	0	0	3/2	2	1	i.V6/iv{					d	i		V6/iv	V		6		iv		{	M	1	1	6, 3, 2		2.0	6.0	2	5	0.2857142857142857	0.75	3.75	0.16666666666666666
17	17	1	1	3/2	2	1	V65/iv					d	i		V65/iv	V		65		iv			Mm7	1	1	6, 3, 0, 2		2.0	6.0	1	3	0.25	0.25	1.25	0.16666666666666666
18	18	0	0	3/2	2	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1.0	1.0	3	5	0.375	1.5	3.25	0.3157894736842105
18	18	1	1	3/2	2	1	ii%43					d	i		ii%43	ii	%	43					%7	1	1	-2, 2, 4, 1		4.0	-2.0	1	2	0.3333333333333333	0.25	1.0	0.2
19	19	0	0	3/2	2	1	V7					d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3.0	3.0	0	5	0.0	0.0	2.0	0.0
19	19	1/2	1/2	3/2	2	1	V2					d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3.0	1.0	1	4	0.2	0.25	2.0	0.1111111111111111
19	19	1	1	3/2	2	1	i					d	i		i	i							m	1	1	2, -1, 3		2.0	2.0	1	4	0.2	0.25	1.5	0.14285714285714285
20	20	0	0	3/2	2	1	V6					d	i		V6	V		6					M	1	1	7, 4, 3		3.0	7.0	2	7	0.2222222222222222	0.5	5.5	0.08333333333333333
21	21	0	0	3/2	2	1	V2/IV					d	i		V2/IV	V		2		IV			Mm7	1	1	0, 2, 6, 3		2.0	0.0	1	6	0.14285714285714285	0.25	3.75	0.0625
21	21	1	1	3/2	2	1	IV6					d	i		IV6	IV		6					M	1	1	5, 2, 1		1.0	5.0	0	4	0.0	0.0	1.5	0.0
21	21	5/4	5/4	3/2	2	1	#vii%2	0	-8	/		d	i		#vii%2	#vii	%	2					%7	1	1	5, 7, 4, 1		7.0	5.0	0	2	0.0	0.0	0.5	0.0
22	22	0	0	3/2	2	1	viio65/V					d	i		viio65/V	vii	o	65		V			o7	1	1	5, 2, -1, 8		8.0	5.0	0	6	0.0	0.0	2.0	0.0
22	22	1/2	1/2	3/2	2	1	#viio2					d	i		#viio2	#vii	o	2					o7	1	1	-2, 7, 4, 1		7.0	-2.0	2	8	0.2	0.5	3.5	0.125
23	23	0	0	3/2	2	1	i64				V(64)	d	i		i64	i		64					m	1	1	3, 2, -1		2.0	3.0	0	4	0.0	0.0	1.0	0.0
23	23	1/4	1/4	3/2	2	1	ii%65					d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4.0	1.0	1	8	0.1111111111111111	0.03125	0.96875	0.03125
23	23	1/2	1/2	3/2	2	1	V(4)					d	i		V(4)	V			4				M	1	1	3, 2, 4		3.0	3.0	1	4	0.2	0.25	2.5	0.09090909090909091
23	23	1	1	3/2	2	1	V7					d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3.0	3.0	1	2	0.3333333333333333	0.25	1.0	0.2
24	24	0	0	3/2	2	1	i(4^2)}	0.536412	4.73684	/		d	i		i(4^2)	i			4^2			}	m	1	1	2, 4, 1, 3		2.0	2.0	0	5	0.0	0.0	5.0	0.0
24	24	1/2	1/2	3/2	2	1	i|PAC					d	i		i	i					PAC		m	1	1	2, -1, 3		2.0	2.0	0	1	0.0	0.0	1.0	0.0
